设备编号,上次检定/校验时间,检定/校验单位,检定结果,经办人
FXS-YZ01,N/A,N/A,不合格,N/A
FXS-YZ02,2019-10-29,通标SGS,,
FXS-YZ03,2019-10-28,通标SGS,,
FXS-YZ04,2019-10-29,通标SGS,,
FXS-YZ05,2019-10-28,通标SGS,,
FXS-YZ06,2019-10-29,通标SGS,,
FXS-YZ07,2019-10-29,通标SGS,,
FXS-YZ08,2019-10-28,通标SGS,,
FXS-YZ09,2019-10-30,通标SGS,,
FXS-YZ10,2019-10-29,通标SGS,,
FXS-YZ11,2019-10-30,通标SGS,,
FXS-YZ12,2019-10-29,通标SGS,,
FXS-YZ13,2019-10-30,通标SGS,,
FXS-YZ14,N/A,N/A,不合格,N/A
FXS-YZ15,2019-10-30,通标SGS,,
FXS-YZ16,2019-6-25,通标SGS,合格,刘润林
FXS-YZ17,2019-10-30,通标SGS,,
FXS-YZ18,2019-10-30,通标SGS,,
FXS-YZ19,2019-8-29,通标SGS,合格,刘润林
FXS-YZ20,2019-8-29,通标SGS,合格,刘润林
FXS-YZ21,2019-10-29,通标SGS,,
FXS-YZ22,2019-10-29,通标SGS,,
FXS-YZ23,2019-10-30,通标SGS,,
FXS-YZ25,2019-8-10,Thermo厂家,,
FXS-YZ26,2019-8-29,通标SGS,合格,刘润林
FXS-YZ27,2020-3-9,通标SGS,合格,刘润林
FXS-YZ28,N/A,通标SGS,,
FXS-QZ01,2019-10-28,通标SGS,,
FXS-QZ02,2019-10-28,通标SGS,,
FXS-QZ03,2019-10-28,通标SGS,,
FXS-QZ04,2019-10-28,通标SGS,,
FXS-QZ05,2019-10-28,通标SGS,,
FXS-QZ06,2019-10-28,通标SGS,,
FXS-QZ07,2019-10-28,通标SGS,,
FXS-QZ08,2019-10-28,通标SGS,,
FXS-QZ09,2019-10-28,通标SGS,,
FXS-QZ10,2018-6-27,通标SGS,合格,刘润林
FXS-QZ11,2018-11-9,华南计量局,,
FXS-QZ12,2019-6-25,通标SGS,,
FXS-QZ13,2019-8-29,通标SGS,,
FXS-QZ14,2019-6-25,通标SGS,,
FXS-QZ15,2018-12-29,通标SGS,,
FXS-YX01,2019-10-29,通标SGS,,
FXS-YX02,2019-10-29,通标SGS,,
FXS-YX03,2019-10-29,通标SGS,,
FXS-YX04,2019-10-29,通标SGS,,
FXS-YX05,N/A,N/A,N/A,N/A
FXS-YX06,2019-6-25,通标SGS,,
FXS-YX07,2019-6-25,通标SGS,,
FXS-YX08,2019-6-25,通标SGS,,
FXS-YX09,2019-6-25,通标SGS,,
FXS-UO01,2019-6-25,通标SGS,合格,申美欣
FXS-SH01,2019-3-12,罗氏,合格,刘润林
FXS-MB01,2019-10-30,通标SGS,,
FXY-MS02,2018-11-9,N/A,不合格,N/A
FXY-MS03,2019-11-7,通标SGS,,
FXY-MS04,2019-11-7,通标SGS,,
FXY-MS05,2019-11-7,通标SGS,,
FXY-MS06,2019-11-7,通标SGS,,
