编号（关联功能）,序列号,部件名（系统）,型号,品牌
FXS-YZ01,AA21130902,质谱主机,API 3200,AB SCIEX
FXS-YZ01,277671,机械泵,N/A,Agilent
FXS-YZ01,L20695207935 IX,脱气机,DGU-20A3,Shimadzu
FXS-YZ01,L20104613666 AE,输液泵,LC-20AD,Shimadzu
FXS-YZ01,L20104613646 AE,输液泵,LC-20AD,Shimadzu
FXS-YZ01,L20174604029 AE,自动进样器,SIL-20AC,Shimadzu
FXS-YZ01,L20204604905 AE,柱温箱,CTO-20A,Shimadzu
FXS-YZ01,L20234608420 CD,控制器,CBM-20A,Shimadzu
FXS-YZ02,V28831103,质谱主机,API 4000,AB SCIEX
FXS-YZ02,IT1744V001,机械泵,8499225R001,Agilent
FXS-YZ02,L20705001750 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ02,L20435203390 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ02,L20435102701 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ02,L20435002227 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ02,L20434901644 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ02,L20455301250 AE,进样器 S1,SIL-20AC XR,Shimadzu
FXS-YZ02,L20444800204 AE,进样器 S2,SIL-20A XR,Shimadzu
FXS-YZ02,L20214907784 AE,柱温箱,CTO-20AC,Shimadzu
FXS-YZ02,L20235120915 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ02,L20235120963 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ03,BH20311204,质谱主机,API 4000+,AB SCIEX
FXS-YZ03,IT1509D084,机械泵,8499225R001,Agilent
FXS-YZ03,L20705105280 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ03,L20435102708 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ03,L20435102638 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ03,L20435002012 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ03,L20434901986 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ03,L20455100880 AE,进样器 S1,SIL-20AC XR,Shimadzu
FXS-YZ03,L20454900664 AE,进样器 S2,SIL-20AC XR,Shimadzu
FXS-YZ03,L20204909231 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ03,L20235120959 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ03,L20235120966 CD,控制器 S2,CBM-20A,Shimadzu
FXS-YZ03,L20234916663 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ04,BH20461208,质谱主机,API 4000+,AB SCIEX
FXS-YZ04,IT1224D039,机械泵,8499225R001,Agilent
FXS-YZ04,L20705105477 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ04,L20435002171 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ04,L20435002173 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ04,L20435404932 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ04,L20435404912 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ04,L20454900661 AE,自动进样器 S1,SIL-20AC XR,Shimadzu
FXS-YZ04,L20455401566 AE,自动进样器 S2,SIL-20AC XR,Shimadzu
FXS-YZ04,L20205009853 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ04,L20235429992 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ04,L20235017457 CD,控制器 S2,CBM-20A,Shimadzu
FXS-YZ04,L20235429987 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ05,BH20501212,质谱主机,API 4000+,AB SCIEX
FXS-YZ05,IT1747V030,机械泵,8499225R001,Agilent
FXS-YZ05,L20705001774 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ05,L20435203435 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ05,L20434901649 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ05,L20435002221 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ05,L20434901982 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ05,L20455201129 AE,进样器 S1,SIL-20AC XR,Shimadzu
FXS-YZ05,L20455000691 AE,进样器 S2,SIL-20AC XR,Shimadzu
FXS-YZ05,L20215009452 CD,柱温箱,CTO-20AC,Shimadzu
FXS-YZ05,L20235017815 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ05,L20235017835 CD,控制器 S2,CBM-20A,Shimadzu
FXS-YZ05,L20235017223 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ06,SG13207210,质谱主机,G6460A,Agilent
FXS-YZ06,139473742,机械泵,A373-24-930,Agilent
FXS-YZ06,DEBAA03534,输液泵,G4220A,Agilent
FXS-YZ06,DEBAP04167,进样器,G4226A,Agilent
FXS-YZ06,DEBAK13791,进样器温控器,G1330B,Agilent
FXS-YZ06,DEBAC06438,柱温箱,G1316C,Agilent
FXS-YZ07,SG13207212,质谱主机,G6460A,Agilent
FXS-YZ07,139513835,机械泵,A373-24-930,Agilent
FXS-YZ07,DEBAA03528,输液泵,G4220A,Agilent
FXS-YZ07,DEBAP04166,进样器,G4226A,Agilent
FXS-YZ07,DEBAK13788,进样器温控器,G1330B,Agilent
FXS-YZ07,DEBAC06442,柱温箱,G1316C,Agilent
FXS-YZ08,BH20831401,质谱主机,API 4000+,AB SCIEX
FXS-YZ08,IT1404D097,机械泵,8499225R001,Agilent
FXS-YZ08,L20705105470 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ08,L20435102792 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ08,L20435102791 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ08,L20435102784 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ08,L20435102788 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ08,L20455000701 AE,进样器 S1,SIL-20AC XR,Shimadzu
FXS-YZ08,L20455100899 AE,进样器 S2,SIL-20AC XR,Shimadzu
FXS-YZ08,L20205112295 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ08,L20235121594 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ08,L20235121610 CD,控制器 S2,CBM-20A,Shimadzu
FXS-YZ08,L20235121355 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ09,BB26201309,质谱主机,Triple Quad 5500,AB SCIEX
FXS-YZ09,IT19065067,机械泵,8499240,Agilent
FXS-YZ09,L20705105775 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ09,L20555104069 AE,输液泵 A,LC-30AD,Shimadzu
FXS-YZ09,L20555104065 AE,输液泵 B,LC-30AD,Shimadzu
FXS-YZ09,L20565101932 AE,进样器,SIL-30AC,Shimadzu
FXS-YZ09,L20575100612 CD,柱温箱,CTO-30A,Shimadzu
FXS-YZ09,L20235121763 CD,控制器,CBM-20A,Shimadzu
FXS-YZ10,SG1417D001,质谱主机,G6495A,Agilent
FXS-YZ10,IT1411D033,机械泵 Q0,9499241M002,Agilent
FXS-YZ10,IT1409D039,机械泵 Q2,9499241M002,Agilent
FXS-YZ10,DEBAA04760,输液泵,G4220A,Agilent
FXS-YZ10,DEBAP05872,进样器,G4226A,Agilent
FXS-YZ10,DEBAK19162,进样器温控器,G1330B,Agilent
FXS-YZ10,DEBAC09151,柱温箱,G1316C,Agilent
FXS-YZ11,BV20411504,质谱主机,API 3200 MD,AB SCIEX
FXS-YZ11,IT1429A465,机械泵,8499365R001,Agilent
FXS-YZ11,L20695308348 IX,脱气机,DGU-20A3,Shimadzu
FXS-YZ11,L20105339537 AE,输液泵 A,LC-20AD,Shimadzu
FXS-YZ11,L20105336392 AE,输液泵 B,LC-20AD,Shimadzu
FXS-YZ11,L20645200622 AE,自动进样器,SIL-30AC MP,Shimadzu
FXS-YZ11,L20205213814 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ11,L20235224746 CD,控制器,CBM-20A,Shimadzu
