故障诊断领域,故障部件,
1,进样针及针座,1
1,进样阀,2
1,定量环,3
1,进样器,4
1,进样器压力传感器,5
1,进样器温度传感器,6
1,进样器皮带,7
1,进样针推杆,8
1,进样臂,9
1,进样盘轨道,10
2,泵头,11
2,Purge阀,12
2,初级泵（柱塞杆/密封圈）,13
2,次级泵（柱塞杆/密封圈）,14
2,单向阀,15
2,外置切换阀,16
2,混匀阀,17
2,管路,18
2,气管,19
2,脱气机内部部件,20
3,在线过滤器接头/管线,21
3,在线过滤器,22
3,保护住/ 色谱柱,23
4,机械泵,24
4,分子涡轮泵,25
4,分子涡轮泵控制器,26
5,喷雾针,27
5,喷雾针双通,28
5,离子源加热头/传感器,29
5,Orifice内壁,30
5,矩管箱,31
5,离子漏斗/Stepwave/离子透镜,32
6,四级杆/碰撞池,33
6,质量分析器,34
7,检测器激发马达,35
7,氘灯,36
7,灯丝,37
7,高能打拿极(HED),38
7,流通池,39
8,MPX软件,40
8,电脑黑屏,41
8,软件,42
8,局域网,43
8,AIC电脑故障,44
