项目组,检测项目
N/A,N/A
VD,VD
ZH（TDM）,FK506
VD,VD
ZH（TDM）,FK506、CSA
VD,VD
VD,VD
ZH（TDM）,CSA
YF（肾上腺）,MNS
ZH,TT、PCOS、CAH
IMD,IMD、SUAC、IMD（非衍）
ZH（TDM）,UFC
IMD,IMD
N/A,N/A
ZH,精神类药物
ZH,末梢血VD
YF（肾上腺）,SALC、UMNS、CA
VD,VD
YF（肾上腺）,UALD、ALD、VK、SCAH
ZH,IMA
VD,VD
VD,VD
ZH（TDM）,UFC、TT
YF（蛋白）,IGF-1
YF（激素）,E1E2
YF（儿茶）,血浆儿茶酚胺、激素大panel
YF（蛋白）,淀粉样蛋白
ZH,极长链脂肪酸
UOA,UOA
UOA,UOA
UOA,UOA
UOA,UOA
UOA,UOA
UOA,UOA
ZH,红细胞脂肪酸
UOA,UOA
UOA,UOA
UOA,UOA
UOA,UOA
UOA,UOA
UOA,UOA
ZH,红细胞脂肪酸
IMD,VC、HPA
VAE,AA、VB
VAE,VAE
VAE,VAE
ZH,IMA
YF,胡萝卜素开发，目前少用
VAE,VAE
VAE,VAE
VAE,Q10、IS 、PCS（血清硫酸吲哚酚&硫酸对甲酚）
IMD,HPA
UOA,UOA
VD,VD
YS,YS
YS,YS
YS,YS
YS,YS
YS,YS
